游标,度,分,波长
角度1,-1,-1,0
角度2,-1,-1,0
角度1,76,11,579.1
角度2,256,8,579.1
角度1,91,6,579.1
角度2,271,5,579.1
角度1,74,16,546.1
角度2,254,14,546.1
角度1,93,2,546.1
角度2,273,0,546.1
角度1,73,45,576.9
角度2,253,43,576.9
角度1,93,33,576.9
角度2,273,33,576.9
角度1,73,43,579.1
角度2,253,41,579.1
角度1,93,35,579.1
角度2,273,36,579.1
