游标,度,分
角度1,142,47
角度2,322,49
角度1,22,52
角度2,202,50
角度1,142,46
角度2,322,45
角度1,22,53
角度2,202,51
角度1,142,45
角度2,322,51
角度1,22,53
角度2,202,51
角度1,142,48
角度2,322,49
角度1,22,48
角度2,202,49
角度1,142,46
角度2,322,49
角度1,22,53
角度2,202,52
